Data da Coleta,Regiao - Sigla,Estado - Sigla,Municipio,Produto,Data da Coleta,Valor de Venda,Bandeira
2023-01-05,NE,RN,CAICO,GASOLINA,2023-01-05,"5,79",BRANCA
2023-01-05,NE,RN,CAICO,GASOLINA,2023-01-05,"5,79",VIBRA ENERGIA
2023-01-05,NE,RN,CAICO,GASOLINA,2023-01-05,"5,79",RAIZEN
2023-01-05,NE,RN,CAICO,GASOLINA,2023-01-05,"5,79",VIBRA ENERGIA
2023-01-05,NE,RN,NATAL,GASOLINA,2023-01-05,"5,69",ALESAT
2023-01-05,NE,RN,NATAL,GASOLINA,2023-01-05,"5,63",VIBRA ENERGIA
2023-01-05,NE,RN,NATAL,GASOLINA,2023-01-05,"5,55",BRANCA
2023-01-05,NE,RN,NATAL,GASOLINA,2023-01-05,"5,66",ALESAT
2023-01-05,N,RR,BOA VISTA,GASOLINA,2023-01-05,"6,09",VIBRA ENERGIA
2023-01-05,N,RR,BOA VISTA,GASOLINA,2023-01-05,"6,09",VIBRA ENERGIA
2023-01-05,N,RR,BOA VISTA,GASOLINA,2023-01-05,"6,09",BRANCA
2023-01-05,S,RS,CANOAS,GASOLINA,2023-01-05,"5,29",IPIRANGA
2023-01-05,S,RS,CANOAS,GASOLINA,2023-01-05,"5,29",BRANCA
2023-01-05,S,RS,CANOAS,GASOLINA,2023-01-05,"5,19",RAIZEN
2023-01-05,S,RS,CANOAS,GASOLINA,2023-01-05,"5,19",RAIZEN
2023-01-05,S,RS,SAO LEOPOLDO,GASOLINA,2023-01-05,"5,29",BRANCA
2023-01-05,S,RS,CANOAS,GASOLINA,2023-01-05,"5,09",BRANCA
2023-01-05,S,RS,CANOAS,GASOLINA,2023-01-05,"5,15",BRANCA
2023-01-05,S,RS,CANOAS,GASOLINA,2023-01-05,"5,99",BRANCA
2023-01-05,S,RS,CAXIAS DO SUL,GASOLINA,2023-01-05,"5,39",IPIRANGA
2023-01-05,S,RS,CAXIAS DO SUL,GASOLINA,2023-01-05,"5,59",VIBRA ENERGIA
2023-01-05,S,RS,CAXIAS DO SUL,GASOLINA,2023-01-05,"5,44",VIBRA ENERGIA
2023-01-05,S,RS,CAXIAS DO SUL,GASOLINA,2023-01-05,"5,39",IPIRANGA
2023-01-05,S,RS,CAXIAS DO SUL,GASOLINA,2023-01-05,"5,49",BRANCA
2023-01-05,S,RS,CRUZ ALTA,GASOLINA,2023-01-05,"5,59",BRANCA
2023-01-05,S,RS,CRUZ ALTA,GASOLINA,2023-01-05,"5,59",VIBRA ENERGIA
2023-01-05,S,RS,NOVO HAMBURGO,GASOLINA,2023-01-05,"5,07",BRANCA
2023-01-05,S,RS,NOVO HAMBURGO,GASOLINA,2023-01-05,"5,05",BRANCA
2023-01-05,S,RS,NOVO HAMBURGO,GASOLINA,2023-01-05,"5,09",IPIRANGA
2023-01-05,S,RS,NOVO HAMBURGO,GASOLINA,2023-01-05,"5,05",BRANCA
2023-01-05,S,RS,NOVO HAMBURGO,GASOLINA,2023-01-05,"5,05",BRANCA
2023-01-05,S,RS,NOVO HAMBURGO,GASOLINA,2023-01-05,"5,07",BRANCA
2023-01-05,S,RS,PASSO FUNDO,GASOLINA,2023-01-05,"5,39",RODOIL
2023-01-05,S,RS,PASSO FUNDO,GASOLINA,2023-01-05,"4,99",IPIRANGA
2023-01-05,S,RS,SANTA MARIA,GASOLINA,2023-01-05,"5,17",VIBRA ENERGIA
2023-01-05,S,RS,SANTA MARIA,GASOLINA,2023-01-05,"5,29",IPIRANGA
2023-01-05,S,RS,SANTA MARIA,GASOLINA,2023-01-05,"5,49",CHARRUA
2023-01-05,S,RS,SANTA MARIA,GASOLINA,2023-01-05,"5,59",VIBRA ENERGIA
2023-01-05,S,RS,SAO LEOPOLDO,GASOLINA,2023-01-05,"5,26",BRANCA
2023-01-05,S,RS,SAO LEOPOLDO,GASOLINA,2023-01-05,"5,04",RAIZEN
2023-01-05,S,RS,SAO LEOPOLDO,GASOLINA,2023-01-05,"5,09",RAIZEN
2023-01-05,S,RS,SAPIRANGA,GASOLINA,2023-01-05,"5,19",BRANCA
2023-01-05,S,RS,SAPIRANGA,GASOLINA,2023-01-05,"5,07",BRANCA
